player_role,prefix_name,prefix_desc,all_player_prob,all_player_bonus,top_player_prob,top_player_bonus
Core,Dashing,+16% when playing an Agility Hero,0.2750081902023422,4.400131043237475,0.5420613024349277,8.672980838958843
Core,Glamorous,+25% when the player has an Arcana equipped,0.09800055834777366,2.4500139586943415,0.21659255923757628,5.414813980939407
Core,Coveted,+19% when that player's hero is chosen last,0.24286013560608752,4.6143425765156625,0.25214351081078407,4.790726705404897
Core,Emerald,+22% when playing a Green Hero,0.11819514349003717,2.600293156780818,0.15391212630626777,3.386066778737891
Core,Brawny,+13% when playing a Strength Hero,0.3607220808317299,4.689387050812488,0.2586607692517855,3.3625900002732116
Core,Sacrificial,+19% when that player's hero is chosen first,0.1922010758418045,3.6518204409942854,0.17284082754175376,3.2839757232933215
Core,Cerulean,+22% when playing a Blue Hero,0.09803016548395749,2.1566636406470647,0.14766240295223787,3.2485728649492334
Core,Elemental,"+16% when playing an Aquatic, Fiery, or Icy Hero",0.22982717475832118,3.677234796133139,0.17939634172323402,2.8703414675717442
Core,Otherworldly,"+24% when playing an Undead, Demon, or Spirit Hero",0.1483390096864,3.5601362324735994,0.11929796615804375,2.86315118779305
Core,Clutch,+10% when playing the last possible match of a series,0.22801757257058605,2.2801757257058606,0.2282793438244925,2.282793438244925
Core,Virtuoso,+22% when playing a hero they are a Master or Grandmaster with,0.13227451482375036,2.910039326122508,0.0985163468294332,2.1673596302475304
Core,Hirsute,+12% when playing a Bearded or Fuzzy Hero,0.3097282112183891,3.7167385346206694,0.16709205524532653,2.005104662943918
Core,Crimson,+6% when playing a Red Hero,0.3944330741847064,2.3665984451082385,0.24917070820906126,1.4950242492543675
Core,Balanced,+8% when playing a Universal Hero,0.325386401185733,2.603091209485864,0.16804398303565035,1.3443518642852028
Core,Bestial,+17% if playing a hero with Horns or Wings,0.1974044496378983,3.355875643844271,0.042308886504795445,0.7192510705815226
Core,Canny,+21% when playing an Intelligence Hero,0.03888332778019495,0.816549883384094,0.031233945277636455,0.6559128508303655
Mid,Coveted,+19% when that player's hero is chosen last,0.3955581395072068,7.515604650636929,0.433667552610862,8.239683499606377
Mid,Virtuoso,+22% when playing a hero they are a Master or Grandmaster with,0.26276941578465857,5.780927147262489,0.3474238310674269,7.643324283483392
Mid,Otherworldly,"+24% when playing an Undead, Demon, or Spirit Hero",0.3019721715008655,7.247332116020773,0.24609629066037214,5.906310975848932
Mid,Canny,+21% when playing an Intelligence Hero,0.23898911306045412,5.018771374269536,0.21825053284894536,4.583261189827852
Mid,Sacrificial,+19% when that player's hero is chosen first,0.20157383689796357,3.829902901061308,0.23672289390591833,4.497734984212448
Mid,Cerulean,+22% when playing a Blue Hero,0.17462041035365708,3.8416490277804556,0.17644967501249723,3.881892850274939
Mid,Dashing,+16% when playing an Agility Hero,0.24148274830316208,3.863723972850593,0.2273002796306086,3.6368044740897374
Mid,Elemental,"+16% when playing an Aquatic, Fiery, or Icy Hero",0.23812686546047135,3.8100298473675416,0.22158708458417922,3.5453933533468676
Mid,Brawny,+13% when playing a Strength Hero,0.23721524212338152,3.08379814760396,0.2634408580468588,3.424731154609164
Mid,Hirsute,+12% when playing a Bearded or Fuzzy Hero,0.2905162423665709,3.486194908398851,0.2769326558013998,3.3231918696167977
Mid,Clutch,+10% when playing the last possible match of a series,0.2313415125581649,2.313415125581649,0.2389744276950564,2.389744276950564
Mid,Crimson,+6% when playing a Red Hero,0.3739052723137743,2.2434316338826457,0.3937943803672369,2.362766282203421
Mid,Emerald,+22% when playing a Green Hero,0.1339549101489651,2.947008023277232,0.10642423615713321,2.3413331954569307
Mid,Balanced,+8% when playing a Universal Hero,0.2823128965130023,2.2585031721040183,0.2910083294735873,2.3280666357886983
Mid,Bestial,+17% if playing a hero with Horns or Wings,0.11766136378202038,2.0002431842943467,0.12654897729530556,2.1513326140201947
Mid,Glamorous,+25% when the player has an Arcana equipped,0.12443716034979019,3.1109290087447548,0.03973449072673302,0.9933622681683254
Support,Canny,+21% when playing an Intelligence Hero,0.3472261953680792,7.291750102729663,0.412105607251252,8.654217752276292
Support,Bestial,+17% if playing a hero with Horns or Wings,0.26033277458212756,4.425657167896168,0.32916927835424514,5.595877732022167
Support,Elemental,"+16% when playing an Aquatic, Fiery, or Icy Hero",0.23878578706720868,3.820572593075339,0.3325437375128768,5.320699800206029
Support,Cerulean,+22% when playing a Blue Hero,0.20277283223010437,4.461002309062296,0.22216738714645373,4.887682517221982
Support,Emerald,+22% when playing a Green Hero,0.2521770963549179,5.547896119808194,0.17757873064474897,3.906732074184477
Support,Sacrificial,+19% when that player's hero is chosen first,0.2044524457954718,3.8845964701139644,0.1990910324372918,3.782729616308544
Support,Otherworldly,"+24% when playing an Undead, Demon, or Spirit Hero",0.09000871512068945,2.160209162896547,0.13245956147456656,3.1790294753895973
Support,Balanced,+8% when playing a Universal Hero,0.33540173298471754,2.6832138638777403,0.3541629538975716,2.8333036311805726
Support,Hirsute,+12% when playing a Bearded or Fuzzy Hero,0.25147273210980575,3.017672785317669,0.23584757989905372,2.8301709587886448
Support,Crimson,+6% when playing a Red Hero,0.3147648746446441,1.8885892478678645,0.45416309469837024,2.724978568190221
Support,Virtuoso,+22% when playing a hero they are a Master or Grandmaster with,0.08937744706686765,1.9663038354710882,0.1155446341433459,2.54198195115361
Support,Clutch,+10% when playing the last possible match of a series,0.22792169582801838,2.279216958280184,0.24428204059761185,2.4428204059761187
Support,Glamorous,+25% when the player has an Arcana equipped,0.09243617235507932,2.310904308876983,0.08985674036904553,2.2464185092261384
Support,Brawny,+13% when playing a Strength Hero,0.1709965906834235,2.2229556788845053,0.15007380006750726,1.9509594008775943
Support,Dashing,+16% when playing an Agility Hero,0.14637548096377978,2.3420076954204765,0.08365763878366918,1.3385222205387068
Support,Coveted,+19% when that player's hero is chosen last,0.06294623468036872,1.1959784589270057,0.040532785827759946,0.770122930727439
