player_role,suffix_name,suffix_desc,all_player_prob,all_player_bonus,top_player_prob,top_player_bonus
Core,of the Octopus,+10% in games where the player ends the game with 4 or more items that have an active ability,0.72182588503642,7.2182588503642,0.6452920380800565,6.452920380800565
Core,the Underdog,+8% in games where the player loses,0.39923981193573854,3.1939184954859083,0.43298683657414294,3.4638946925931435
Core,the Loquacious,+16% in games where the player uses the most voice lines,0.09322558826820203,1.4916094122912325,0.20251731221555644,3.240276995448903
Core,the Decisive,+21% in games that last less than 25 minutes,0.07156584126588784,1.5028826665836448,0.0585428478835662,1.2293998055548903
Core,the Nothl Pilgrim,+15% if the player has the most deaths in the game,0.07907668682438593,1.1861503023657889,0.06042947244773246,0.9064420867159869
Core,of the Mule,+24% in games where the player ends the game with items in every slot of their inventory and backpack,0.013259106347451548,0.31821855233883717,0.030508306849233866,0.7321993643816128
Core,of the Bull,+21% in games where the player buys back before 30 minutes,0.02064433191389907,0.43353097019188047,0.027311677920950572,0.573545236339962
Core,the Tormented,+20% if any player dies to a Tormentor,0.0309837947231851,0.619675894463702,0.02707400058651444,0.5414800117302888
Core,the Pacifist,+18% if the player ends the game with no kills,0.049628683471050775,0.8933163024789139,0.02631100890433782,0.47359816027808077
Core,the Accomplice,+16% in games where the player has the most assists,0.0849027624250654,1.3584441988010465,0.025938831355544555,0.4150213016887129
Core,the Divine Thief,+23% in games where any player steals a Divine Rapier,0.008701186718437955,0.20012729452407296,0.014328242217530944,0.3295495710032117
Core,the Flayed Twins Acolyte,+5% if any player gets first blood before the starting horn,0.067540462800082815,0.33770231400041406,0.06125970198624206,0.30629850993121033
Core,the Even-Keeled,+25% in games where the player is tipped 5 or more times,0.003225576667283111,0.08063941668207777,0.011102086831042182,0.27755217077605454
Core,of the Raven,+23% if any player gets a rampage,0.027320853363372217,0.628379627357561,0.010850331979685435,0.249557635532765
Core,of the Ant,+17% in games where the player has the lowest networth,0,0,0,0
Core,the Patient,+22% if first blood does not happen until after 10 minutes,0,0,0,0
Mid,of the Octopus,+10% in games where the player ends the game with 4 or more items that have an active ability,0.6435412200282873,6.435412200282872,0.7047880735100972,7.047880735100972
Mid,the Underdog,+8% in games where the player loses,0.3991369689192273,3.1930957513538183,0.33884315344094496,2.7107452275275596
Mid,of the Mule,+24% in games where the player ends the game with items in every slot of their inventory and backpack,0.04894610351577364,1.1747064843785673,0.10996685354356084,2.63920448504546
Mid,the Decisive,+21% in games that last less than 25 minutes,0.0715960223947937,1.5035164702906678,0.11401509646564756,2.394317025778599
Mid,the Accomplice,+16% in games where the player has the most assists,0.048871374694301216,0.7819419951088195,0.050262235493288676,0.8041957678926188
Mid,the Flayed Twins Acolyte,+5% if any player gets first blood before the starting horn,0.0676361093446829,0.33818054672341447,0.1152184571183571,0.5760922855917855
Mid,the Nothl Pilgrim,+15% if the player has the most deaths in the game,0.04135148354627751,0.6202722531941627,0.03802835506301748,0.5704253259452622
Mid,of the Raven,+23% if any player gets a rampage,0.027320853363372217,0.628379627357561,0.021340166130301146,0.49082382099692634
Mid,the Pacifist,+18% if the player ends the game with no kills,0.03743572082218488,0.6738429747993279,0.026237016070985587,0.47226628927774056
Mid,of the Bull,+21% in games where the player buys back before 30 minutes,0.031678342264103036,0.6652451875461638,0.02188822123759508,0.4596526459894966
Mid,the Tormented,+20% if any player dies to a Tormentor,0.031004726460289313,0.6200945292057862,0.010796432069394658,0.21592864138789317
Mid,the Divine Thief,+23% in games where any player steals a Divine Rapier,0.008701186718437955,0.20012729452407296,0.006148262438689932,0.14141003608986843
Mid,the Even-Keeled,+25% in games where the player is tipped 5 or more times,8.079446991808123e-4,0.020198617479520307,0.0032317787967232493,0.08079446991808123
Mid,of the Ant,+17% in games where the player has the lowest networth,0,0,0,0
Mid,the Loquacious,+16% in games where the player uses the most voice lines,0.08846400089569965,1.4154240143311945,0,0
Mid,the Patient,+22% if first blood does not happen until after 10 minutes,0,0,0,0
Support,of the Ant,+17% in games where the player has the lowest networth,0.20850586628685577,3.544599726876548,0.3705402002969705,6.299183405048498
Support,the Accomplice,+16% in games where the player has the most assists,0.25266227690224086,4.042596430435854,0.2977183133125815,4.763493013001304
Support,the Nothl Pilgrim,+15% if the player has the most deaths in the game,0.1816207289614244,2.724310934421366,0.25083816104771406,3.7625724157157108
Support,of the Octopus,+10% in games where the player ends the game with 4 or more items that have an active ability,0.4745661257565456,4.745661257565456,0.3495681805728793,3.4956818057287933
Support,the Underdog,+8% in games where the player loses,0.4030905569169705,3.224724455335764,0.38675914879298123,3.09407319034385
Support,the Pacifist,+18% if the player ends the game with no kills,0.11922562701662805,2.1460612862993047,0.13518110342066544,2.433259861571978
Support,of the Bull,+21% in games where the player buys back before 30 minutes,0.08083585717187977,1.6975530006094752,0.10086556095493909,2.118176780053721
Support,of the Mule,+24% in games where the player ends the game with items in every slot of their inventory and backpack,0.0560853460810232,1.346048305944557,0.07344980614199875,1.76279534740797
Support,the Decisive,+21% in games that last less than 25 minutes,0.06781522757911639,1.4241197791614442,0.05192717958404106,1.0904707712648622
Support,the Tormented,+20% if any player dies to a Tormentor,0.03221361063523983,0.6442722127047966,0.03132419832974189,0.6264839665948378
Support,the Loquacious,+16% in games where the player uses the most voice lines,0.046974402385523605,0.7515904381683777,0.03217989983161002,0.5148783973057603
Support,the Flayed Twins Acolyte,+5% if any player gets first blood before the starting horn,0.06632269848678914,0.33161349243394567,0.08200260530568458,0.4100130265284229
