player_id,player_role,suffix_name,suffix_bonus,suffix_prob,effective_bonus
10366616,Support,of the Ant,17,0.2153927056115057,0.03661675995395597
10366616,Support,of the Bull,21,0.0693536387978784,0.014564264147554464
10366616,Support,of the Mule,24,0.03905084060947202,0.009372201746273285
10366616,Support,of the Octopus,10,0.6164562699276461,0.06164562699276461
10366616,Support,of the Raven,23,0,0
10366616,Support,the Accomplice,16,0.2574618196917418,0.04119389115067869
10366616,Support,the Decisive,21,0.08040488135864657,0.01688502508531578
10366616,Support,the Divine Thief,23,0,0
10366616,Support,the Even-Keeled,25,0,0
10366616,Support,the Flayed Twins Acolyte,5,0.12503199904754358,0.006251599952377179
10366616,Support,the Loquacious,16,0,0
10366616,Support,the Nothl Pilgrim,15,0.17968704544351954,0.02695305681652793
10366616,Support,the Pacifist,18,0.2111312342118845,0.03800362215813921
10366616,Support,the Patient,22,0,0
10366616,Support,the Tormented,20,0.0809282210582904,0.01618564421165808
10366616,Support,the Underdog,8,0.3723697803352316,0.029789582426818527
16497807,Support,of the Ant,17,0.10632035913271222,0.018074461052561077
16497807,Support,of the Bull,21,0.05716487741983571,0.0120046242581655
16497807,Support,of the Mule,24,0.036835448243795636,0.008840507578510952
16497807,Support,of the Octopus,10,0.4769242454577351,0.047692424545773514
16497807,Support,of the Raven,23,0.06962002981698746,0.016012606857907116
16497807,Support,the Accomplice,16,0.19011163904035208,0.03041786224645633
16497807,Support,the Decisive,21,0.17363502001034403,0.03646335420217225
16497807,Support,the Divine Thief,23,0,0
16497807,Support,the Even-Keeled,25,0,0
16497807,Support,the Flayed Twins Acolyte,5,0.1446512457419779,0.0072325622870988955
16497807,Support,the Loquacious,16,0,0
16497807,Support,the Nothl Pilgrim,15,0.1296202666074029,0.019443039991110432
16497807,Support,the Pacifist,18,0.013250961421270213,0.0023851730558286386
16497807,Support,the Patient,22,0,0
16497807,Support,the Tormented,20,0.0389087622853638,0.00778175245707276
16497807,Support,the Underdog,8,0.38737845714688174,0.03099027657175054
25907144,Support,of the Ant,17,0.15697707472372588,0.0266861027030334
25907144,Support,of the Bull,21,0.015926406313243564,0.0033445453257811486
25907144,Support,of the Mule,24,0.12966022541011146,0.03111845409842675
25907144,Support,of the Octopus,10,0.619758195782224,0.06197581957822241
25907144,Support,of the Raven,23,0,0
25907144,Support,the Accomplice,16,0.3238916657969566,0.05182266652751306
25907144,Support,the Decisive,21,0.08040488135864657,0.01688502508531578
25907144,Support,the Divine Thief,23,0,0
25907144,Support,the Even-Keeled,25,0,0
25907144,Support,the Flayed Twins Acolyte,5,0.12503199904754358,0.006251599952377179
25907144,Support,the Loquacious,16,0,0
25907144,Support,the Nothl Pilgrim,15,0.06090561129786862,0.009135841694680293
25907144,Support,the Pacifist,18,0.053895586089494116,0.009701205496108941
25907144,Support,the Patient,22,0,0
25907144,Support,the Tormented,20,0.0809282210582904,0.01618564421165808
25907144,Support,the Underdog,8,0.3723697803352316,0.029789582426818527
54580962,Support,of the Ant,17,0.22461598683683315,0.038184717762261636
54580962,Support,of the Bull,21,0.1211173192211423,0.025434637036439885
54580962,Support,of the Mule,24,0.08248392211138583,0.0197961413067326
54580962,Support,of the Octopus,10,0.6574709197357823,0.06574709197357823
54580962,Support,of the Raven,23,0.011375768436449565,0.0026164267403834002
54580962,Support,the Accomplice,16,0.2640620229968689,0.04224992367949902
54580962,Support,the Decisive,21,0.10646102470996006,0.022356815189091616
54580962,Support,the Divine Thief,23,0.017675962914436228,0.004065471470320332
54580962,Support,the Even-Keeled,25,0,0
54580962,Support,the Flayed Twins Acolyte,5,0.1266783912803933,0.006333919564019665
54580962,Support,the Loquacious,16,0,0
54580962,Support,the Nothl Pilgrim,15,0.08930486566844979,0.013395729850267468
54580962,Support,the Pacifist,18,0.13216123648169584,0.02378902256670525
54580962,Support,the Patient,22,0,0
54580962,Support,the Tormented,20,0.015781685945406874,0.003156337189081375
54580962,Support,the Underdog,8,0.4178004292081413,0.0334240343366513
56351509,Core,of the Ant,17,0,0
56351509,Core,of the Bull,21,0.04303971132301622,0.009038339377833406
56351509,Core,of the Mule,24,0,0
56351509,Core,of the Octopus,10,0.8078572205641992,0.08078572205641991
56351509,Core,of the Raven,23,0,0
56351509,Core,the Accomplice,16,0.11584852841109244,0.01853576454577479
56351509,Core,the Decisive,21,0.09199187183167598,0.019318293084651956
56351509,Core,the Divine Thief,23,0.007156851951629171,0.0016460759488747092
56351509,Core,the Even-Keeled,25,0,0
56351509,Core,the Flayed Twins Acolyte,5,0.22222970667634756,0.011111485333817379
56351509,Core,the Loquacious,16,0,0
56351509,Core,the Nothl Pilgrim,15,0.032080718023052,0.004812107703457799
56351509,Core,the Pacifist,18,0.04149560792215105,0.007469209425987189
56351509,Core,the Patient,22,0,0
56351509,Core,the Tormented,20,0.019870719226192136,0.003974143845238427
56351509,Core,the Underdog,8,0.42065446694195785,0.03365235735535663
77490514,Support,of the Ant,17,0.2256157905287062,0.03835468438988006
77490514,Support,of the Bull,21,0.11374059497419128,0.02388552494458017
77490514,Support,of the Mule,24,0.06638422571692652,0.015932214172062364
77490514,Support,of the Octopus,10,0.6812996445418131,0.0681299644541813
77490514,Support,of the Raven,23,0.011375768436449565,0.0026164267403834002
77490514,Support,the Accomplice,16,0.23925639973061943,0.03828102395689911
77490514,Support,the Decisive,21,0.10646102470996006,0.022356815189091616
77490514,Support,the Divine Thief,23,0.017675962914436228,0.004065471470320332
77490514,Support,the Even-Keeled,25,0,0
77490514,Support,the Flayed Twins Acolyte,5,0.1266783912803933,0.006333919564019665
