player_id,player_role,emblem_colour,emblem_stat,average,stddev
10366616,Support,Blue,Camps Stacked,520.5198537793564,486.25294273265456
10366616,Support,Blue,Lotuses Grabbed,979.3816948276823,635.6838733825068
10366616,Support,Blue,Runes Grabbed,730.59989837242,345.2171566574257
10366616,Support,Blue,Smokes Used,882.2647976014122,413.08946467626055
10366616,Support,Blue,Wards Placed,1237.1828876375453,522.7413836195163
10366616,Support,Blue,Watchers Taken,870.5443501139581,452.2136576385177
10366616,Support,Green,Courier Kills,350.4010580886618,571.8318182130013
10366616,Support,Green,First Blood,76.20912120503557,368.3173612873575
10366616,Support,Green,Roshan Kills,91.64290313044748,311.69484342795056
10366616,Support,Green,Stuns,412.139218749009,492.1563559466579
10366616,Support,Green,Teamfight Participation,964.4861449207216,240.14855214264554
10366616,Support,Green,Tormentor Kills,651.3034357370333,577.1323053378893
10366616,Support,Red,Creep Score,356.2968272489751,261.8142034631133
10366616,Support,Red,Deaths,584.7901810001504,489.44233743950986
10366616,Support,Red,GPM,725.0563009376946,175.37155850875698
10366616,Support,Red,Kills,268.9659458720627,210.8810570618566
10366616,Support,Red,Neutral Tokens Found,212.40843020666375,301.03569230129875
10366616,Support,Red,Tower Kills,139.2902234691325,260.94044016493933
16497807,Support,Blue,Camps Stacked,652.2936424350066,515.7919145884224
16497807,Support,Blue,Lotuses Grabbed,520.2743616225966,504.72394686077706
16497807,Support,Blue,Runes Grabbed,545.0522288148647,268.99271750863693
16497807,Support,Blue,Smokes Used,609.4288764778522,427.6302115341681
16497807,Support,Blue,Wards Placed,830.180919406378,310.05711163238243
16497807,Support,Blue,Watchers Taken,568.9696747652263,309.42406441717804
16497807,Support,Green,Courier Kills,392.5733787386591,779.6238289730815
16497807,Support,Green,First Blood,183.9840323331338,555.6258793385732
16497807,Support,Green,Roshan Kills,66.48036480091119,269.35865216440027
16497807,Support,Green,Stuns,551.3758362546641,496.8559820338924
16497807,Support,Green,Teamfight Participation,1101.0055823238135,197.92788594274344
16497807,Support,Green,Tormentor Kills,190.29506525996163,291.90449104638265
16497807,Support,Red,Creep Score,292.8305964974783,131.35878540482943
16497807,Support,Red,Deaths,903.3074878340975,448.1329995773238
16497807,Support,Red,GPM,710.9626997051174,120.78035590576714
16497807,Support,Red,Kills,467.70244804819953,297.0627338992548
16497807,Support,Red,Neutral Tokens Found,156.9781727289064,180.9440400746303
16497807,Support,Red,Tower Kills,36.9514700911675,104.16096430862616
25907144,Support,Blue,Camps Stacked,835.3385389721788,546.4064863883657
25907144,Support,Blue,Lotuses Grabbed,545.0145782774254,456.28162943651836
25907144,Support,Blue,Runes Grabbed,719.875696517145,449.88729875392363
25907144,Support,Blue,Smokes Used,901.7789873739996,530.7440185329339
25907144,Support,Blue,Wards Placed,719.4197703086877,260.7351684193965
25907144,Support,Blue,Watchers Taken,353.8125305977174,241.03868122694396
25907144,Support,Green,Courier Kills,613.0605208463054,862.3635792091187
25907144,Support,Green,First Blood,99.02892723824887,417.0880337389188
25907144,Support,Green,Roshan Kills,138.55846560661524,374.4701261601934
25907144,Support,Green,Stuns,596.2594557534425,542.1394323826999
25907144,Support,Green,Teamfight Participation,1102.8712494833262,177.95357094462892
25907144,Support,Green,Tormentor Kills,547.9008744690813,558.4272271305582
25907144,Support,Red,Creep Score,297.1100460758302,184.2002299498203
25907144,Support,Red,Deaths,773.6729192282179,394.95288950560445
25907144,Support,Red,GPM,712.6416077802345,145.81416462182122
25907144,Support,Red,Kills,521.6500311017076,436.37661099569584
25907144,Support,Red,Neutral Tokens Found,87.23909743336108,152.73509108019724
25907144,Support,Red,Tower Kills,76.76034731498915,138.90208368282723
54580962,Support,Blue,Camps Stacked,825.57654281825,533.6140526394797
54580962,Support,Blue,Lotuses Grabbed,578.790033218398,622.2731076310451
54580962,Support,Blue,Runes Grabbed,411.646296125811,266.1521293279414
54580962,Support,Blue,Smokes Used,984.6066952257887,524.7802259443189
54580962,Support,Blue,Wards Placed,1098.0965467142937,397.9987898686896
54580962,Support,Blue,Watchers Taken,571.7659057542352,280.1486054639912
54580962,Support,Green,Courier Kills,411.41998841827717,651.35930292138
54580962,Support,Green,First Blood,260.7440066078796,643.3921244826266
54580962,Support,Green,Roshan Kills,57.99493213306069,251.69151771532327
54580962,Support,Green,Stuns,547.3766549722105,385.99449639240817
54580962,Support,Green,Teamfight Participation,1080.3513314740446,190.71406966514635
54580962,Support,Green,Tormentor Kills,337.4358448606049,462.2105139843929
54580962,Support,Red,Creep Score,189.03062466302111,101.20984611007557
54580962,Support,Red,Deaths,803.8104980174816,364.5573721540825
54580962,Support,Red,GPM,629.1353035860831,123.35373396217776
54580962,Support,Red,Kills,391.15779895880974,299.65698744186005
54580962,Support,Red,Neutral Tokens Found,120.88137002121104,257.79377833399855
54580962,Support,Red,Tower Kills,85.35106321609126,188.49481420565616
56351509,Core,Blue,Camps Stacked,357.835705702618,291.389003509785
56351509,Core,Blue,Lotuses Grabbed,351.246014294991,298.0803674527667
56351509,Core,Blue,Runes Grabbed,366.3539452975798,249.97061942782352
56351509,Core,Blue,Smokes Used,34.84454203168917,105.1054733944247
56351509,Core,Blue,Wards Placed,6.257804696825523,26.300079386716313
56351509,Core,Blue,Watchers Taken,433.64630321866196,247.0915120762756
56351509,Core,Green,Courier Kills,216.4727023433299,547.6750218821604
56351509,Core,Green,First Blood,45.40512961799603,286.94388432244733
56351509,Core,Green,Roshan Kills,176.2909701473675,482.81623629609913
56351509,Core,Green,Stuns,620.4810239255872,770.5914882614117
