player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
10366616,0,15,23,245.9646,1,0,5,0,2,1,2,3,0,0.36363637,0.0,0,0,0
100058342,5,5,171,474.1714,6,1,0,1,4,0,0,4,0,0.8181818,4.7333984,0,0,1
898455820,3,5,163,459.73843,2,1,2,2,5,0,0,0,0,0.6363636,0.0,0,0,2
183719386,2,10,120,382.24637,1,0,0,2,1,2,0,0,0,0.72727275,27.832443,0,0,0
25907144,1,8,62,342.42352,0,0,5,5,3,2,2,2,0,0.8181818,7.8,0,0,0
331855530,11,2,251,794.15204,9,7,0,4,2,0,0,0,1,0.44186047,47.36734,1,0,0
132851371,6,2,149,541.3488,0,0,0,0,5,1,0,1,0,0.627907,29.500542,1,0,0
136829091,4,3,14,359.72794,0,1,9,1,3,8,1,4,0,0.88372093,37.6998,1,0,0
164199202,11,4,72,489.47333,0,0,3,0,3,2,1,0,0,0.6511628,12.299416,1,1,1
94054712,10,2,123,542.97345,1,1,1,0,6,0,1,0,0,0.6976744,35.599453,1,0,2

