player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
177203952,5,1,463,822.7659,10,8,0,1,4,1,0,1,1,0.8518519,25.966534,1,0,0
115651292,11,2,367,704.84625,3,1,1,2,15,0,0,1,0,0.5925926,37.46641,0,0,1
126238768,3,1,229,514.60803,2,1,0,0,5,7,0,0,1,0.8888889,38.500397,1,0,0
87063175,4,1,126,407.7385,1,0,11,11,9,7,4,0,0,0.7037037,32.800903,0,0,0
94155156,4,2,74,397.285,0,0,7,8,1,3,3,1,0,0.7407407,6.933545,1,0,1
1171243748,2,2,505,614.2406,11,2,1,5,4,1,0,0,0,0.2857143,19.100195,2,0,0
352545711,0,7,336,465.37543,1,0,1,6,8,1,1,0,0,0.5714286,21.49983,0,0,0
408729743,3,7,302,468.82535,5,0,0,2,3,2,0,11,0,0.85714287,0.0,1,0,0
155332459,1,5,50,211.53429,0,0,7,8,2,2,4,0,0,0.71428573,21.799728,0,1,0
177953305,1,6,83,248.00482,0,0,7,2,3,5,2,4,0,0.71428573,1.5,1,0,0

