player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
898754153,3,4,723,734.5693,11,2,0,2,5,2,0,1,0,0.8333333,14.565878,2,0,0
137129583,2,7,425,483.13644,1,0,2,5,2,4,0,0,0,0.8333333,0.0,2,0,0
129958758,0,6,377,426.56693,8,0,0,3,4,5,0,0,0,0.6666667,23.633692,2,0,1
157475523,0,6,130,246.25389,0,1,9,3,6,4,7,0,0,0.5,40.53189,3,0,0
143693439,1,12,93,238.76062,0,0,13,3,5,9,2,5,0,0.8333333,51.06543,1,0,0
54580962,5,1,165,427.70514,3,2,16,4,13,4,2,12,0,0.82857144,42.633995,2,0,0
86698277,6,1,525,703.7045,8,1,0,4,6,1,0,1,2,0.6571429,30.665525,1,0,0
201358612,8,1,552,750.31464,0,2,2,0,21,5,0,0,0,0.8,106.833824,1,0,0
77490514,7,1,205,483.53482,1,1,5,13,9,8,6,5,0,0.7714286,25.633911,1,0,1
152962063,8,2,627,775.8677,8,2,0,3,12,2,0,3,1,0.71428573,1.0,1,1,0

