player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
10366616,2,8,60,275.47794,0,1,6,10,7,2,4,5,0,1.0,13.566651,1,0,0
100058342,0,3,347,542.24023,11,1,0,1,2,1,0,4,0,0.4,17.500097,1,0,0
898455820,1,9,170,370.47812,1,0,1,2,4,1,0,0,0,0.8,20.133226,0,0,0
183719386,0,7,185,365.08734,2,0,0,2,0,2,0,0,0,0.6,0.0,0,0,1
25907144,2,6,55,241.13196,0,0,8,1,4,2,2,0,0,0.8,30.033813,1,0,2
54580962,1,1,39,313.2456,0,0,9,8,4,6,4,4,0,0.625,35.600098,0,0,0
86698277,8,2,242,612.6108,7,1,1,10,4,1,1,0,1,0.65625,22.433105,0,0,0
201358612,9,1,302,660.54663,6,2,1,0,14,1,0,0,0,0.71875,-5.715748,0,0,1
77490514,5,0,68,336.0353,0,1,4,4,4,9,1,1,0,0.75,26.967144,0,0,0
152962063,9,1,257,589.65967,1,0,0,1,4,2,0,3,0,0.5625,18.266018,0,1,0

