player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
148215639,0,6,185,399.87393,4,0,0,1,2,3,0,0,0,0.18181819,0.0,1,0,0
173978074,5,7,205,502.83673,5,0,2,4,4,1,0,0,0,0.6363636,2.7549756,0,0,0
138857296,3,3,206,526.9595,1,0,0,4,1,0,0,0,0,0.6363636,21.633581,1,1,0
207829314,1,3,34,296.78503,0,0,3,9,7,2,1,3,0,0.90909094,24.89972,1,0,0
94296097,2,7,44,240.80688,0,0,5,1,1,2,3,0,0,0.72727275,24.133469,0,0,0
171262902,5,0,190,572.68335,2,0,0,2,5,1,0,4,0,0.53846157,11.266602,0,0,0
56351509,9,1,200,599.2856,4,3,0,2,3,2,1,1,0,0.7307692,24.532719,0,0,0
106573901,8,1,186,637.27673,4,0,2,0,12,1,0,0,1,0.7307692,6.166748,0,0,0
127565532,3,3,37,340.1555,0,2,5,0,3,3,2,0,0,0.5769231,20.300123,0,0,0
196878136,1,6,22,298.97037,0,0,5,3,3,3,2,1,0,0.65384614,61.399986,0,0,0

