player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
10366616,1,9,47,321.27014,0,0,12,0,9,4,3,3,0,0.6923077,25.799858,1,0,0
100058342,10,4,334,736.1984,7,5,1,5,3,2,0,0,2,0.64102566,42.633575,1,0,1
898455820,17,5,241,663.5966,4,4,0,1,1,0,0,0,0,0.84615386,15.1338625,0,0,0
183719386,5,5,235,541.4536,3,1,0,2,6,3,0,3,0,0.6666667,41.732777,0,1,0
25907144,6,4,68,373.08273,1,1,5,6,4,5,3,4,0,0.7692308,14.766602,0,0,0
331855530,4,6,455,673.02924,9,1,0,2,4,0,0,2,0,0.5555556,18.899078,1,0,0
132851371,4,7,153,543.137,4,0,0,4,2,1,0,1,0,0.6296296,8.566504,1,0,0
136829091,6,11,34,308.1767,0,0,9,5,7,9,5,4,0,0.8888889,64.29872,1,0,1
164199202,3,8,110,328.6452,0,0,6,0,4,2,1,2,0,0.6666667,54.933197,0,0,1
94054712,10,7,200,511.2318,2,0,2,1,15,0,0,0,0,0.7407407,7.633423,1,0,0

