player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
100471531,1,5,414,472.13306,5,0,2,8,5,8,0,0,0,0.6315789,85.100525,4,0,0
375507918,9,5,837,782.1852,5,5,0,2,7,2,0,3,0,0.7368421,0.0,5,0,0
101259972,0,7,101,332.43408,4,0,23,6,7,10,11,13,0,0.57894737,3.8663673,0,0,0
210053851,7,4,801,723.83606,5,0,2,3,16,0,0,0,3,0.7894737,70.36745,2,0,0
193815691,2,6,267,389.90894,5,0,4,5,14,10,1,1,0,0.5263158,18.133154,3,1,1
124801257,13,2,818,763.6636,5,1,0,1,10,1,0,4,0,0.8518519,26.434544,4,0,0
480412663,8,5,642,647.15356,5,2,3,5,19,1,0,6,1,0.6666667,37.098625,0,0,0
165564598,0,5,694,651.88824,5,1,0,0,18,2,0,1,1,0.5925926,79.1331,3,0,0
317880638,4,7,292,451.6073,3,0,19,3,21,4,7,0,0,0.7037037,74.59828,1,0,0
431770905,2,3,335,464.03574,3,0,11,13,13,7,3,1,0,0.5555556,48.00006,0,0,0

