player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
111620041,3,5,331,461.95267,8,2,0,1,14,3,0,2,1,1.0,1.4175146,1,0,0
101356886,0,7,43,196.06952,0,0,8,2,5,5,5,2,0,1.0,113.5674,1,0,1
156328257,2,3,298,425.25214,2,1,0,1,3,3,0,3,0,0.7,147.0962,0,0,1
181267255,3,6,111,290.10376,1,0,13,5,1,6,3,0,0,1.0,42.366634,0,0,0
206642367,2,5,416,510.58957,9,2,0,4,3,0,0,0,0,0.4,88.0014,2,0,0
148215639,4,2,486,660.9791,5,3,0,5,6,5,0,2,2,0.68,0.0,2,0,0
173978074,7,2,431,653.3912,12,1,1,2,21,9,0,1,0,0.88,34.999996,1,1,0
138857296,8,2,372,583.27313,3,2,0,4,5,4,0,9,0,0.8,55.467793,0,0,0
207829314,5,3,24,310.43256,0,0,7,2,3,4,3,2,0,1.0,34.66699,1,0,0
94296097,1,1,130,352.85123,0,0,14,0,4,2,5,5,0,0.56,42.366467,1,0,0

