player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
54580962,5,7,81,375.6428,0,0,14,2,6,7,5,6,0,0.7906977,98.665764,1,0,1
86698277,5,3,357,539.78534,4,1,0,0,4,4,0,3,0,0.76744187,-0.04935336,1,0,0
201358612,11,2,504,722.3345,6,0,2,4,19,2,0,1,1,0.88372093,45.600693,1,0,0
77490514,11,8,65,414.6019,1,1,9,3,4,11,4,6,0,0.8372093,45.96872,1,0,0
152962063,8,7,539,736.5233,9,4,0,3,3,2,0,0,1,0.8372093,93.067154,1,0,0
904131336,5,9,612,680.02704,11,3,1,1,9,4,0,0,2,0.4814815,33.333668,4,0,0
312436974,11,8,385,516.42096,4,0,1,0,19,1,0,2,0,0.8518519,78.537125,2,0,0
175311897,4,10,66,297.4286,0,1,13,7,3,3,7,1,0,0.7037037,21.43335,1,0,0
123787715,1,7,170,365.80127,0,0,10,2,7,6,2,11,0,0.7037037,17.000074,1,0,0
168126336,6,9,323,433.80396,5,0,0,1,6,2,0,1,0,0.7407407,67.8695,2,1,0

