player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
171262902,6,3,400,731.5654,7,5,0,2,5,2,0,1,1,0.6666667,12.000053,1,0,0
56351509,7,2,180,522.9063,3,1,0,0,5,1,0,0,0,0.8095238,77.59971,1,0,1
106573901,6,3,276,611.59546,4,2,1,2,4,3,0,2,0,0.85714287,55.1655,2,0,0
127565532,1,9,27,336.47937,0,0,12,2,8,6,4,2,0,0.71428573,77.433716,1,0,0
196878136,1,1,221,503.01117,1,0,4,8,9,1,2,1,0,0.7619048,1.8663769,1,0,0
331855530,3,2,342,628.16473,5,1,1,3,1,1,0,2,1,0.5555556,36.200317,1,0,0
132851371,3,6,198,421.39322,4,1,0,2,4,1,0,1,0,0.6666667,28.36547,0,0,0
136829091,4,5,26,283.6554,0,0,10,4,5,6,4,4,0,0.6666667,19.366516,0,0,1
103735745,3,6,70,283.6554,0,0,3,7,7,4,1,0,0,0.7777778,3.6998472,0,0,0
94054712,5,3,274,535.2209,6,3,1,4,11,0,0,0,0,0.5555556,0.0,1,1,0

