player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
904131336,8,9,469,634.1139,10,0,0,0,1,0,0,0,0,0.71428573,65.000244,2,0,0
312436974,4,8,268,440.72006,5,1,1,0,8,2,0,2,0,0.7619048,22.933401,0,0,0
175311897,2,10,129,326.55072,0,0,10,3,5,6,5,1,0,0.6666667,16.565836,1,0,0
123787715,3,7,32,264.79858,0,1,7,3,2,9,2,3,0,0.6666667,0.0,2,0,0
168126336,2,7,223,400.74124,1,0,0,2,4,0,0,3,0,0.61904764,-2.7491899,2,0,1
177203952,10,2,321,705.3231,8,3,0,3,5,0,0,6,1,0.6585366,66.09978,1,0,0
115651292,6,5,355,646.6501,1,0,0,0,14,0,0,1,0,0.70731705,78.93349,1,0,0
126238768,14,2,383,786.5759,8,6,0,2,2,3,0,1,2,0.85365856,88.99982,0,1,1
87063175,9,5,83,448.2466,2,1,9,2,11,6,1,0,0,0.58536583,51.26628,1,0,3
94155156,2,7,64,393.92334,1,0,10,8,5,7,6,0,0,0.58536583,33.466652,0,0,0

